issue_time_utc,status,forecast_rows,run_id,output_dir,error
2026-01-01T12:00:00Z,reused,96,122b72699e79b22eed69f0351d80e5f77def2f7fb4427bf763ec74e12f8ba596,data\processed\january_runs\20260101T120000Z\20260101T000000Z\122b72699e79b22e,
2026-01-02T12:00:00Z,success,96,02104f67d95b1b0e180cb9017d88daa73a8fcacd86aff2e0b1949c4bea98dc60,data\processed\january_runs\20260102T120000Z\20260102T000000Z\02104f67d95b1b0e,
2026-01-03T12:00:00Z,success,96,e2c918f3df49164ebd2d0df261f2e4d4c11315d7a9a3b26a767990a9a8e5b8e5,data\processed\january_runs\20260103T120000Z\20260103T000000Z\e2c918f3df49164e,
2026-01-04T12:00:00Z,success,96,00cbdbebba1e63e0de82f85f4964ad51491b07676b316f5edb0ecf5eaf173292,data\processed\january_runs\20260104T120000Z\20260104T000000Z\00cbdbebba1e63e0,
2026-01-05T12:00:00Z,success,96,c49e8706aae1423879705df649d764fb4f56c800cfd228c9f3bf3b7a196155fb,data\processed\january_runs\20260105T120000Z\20260105T000000Z\c49e8706aae14238,
2026-01-06T12:00:00Z,success,96,a1ba4e7291ef77fc8b58f69226e9b6d37ce4c249275d6d0e12d629e472c08b8d,data\processed\january_runs\20260106T120000Z\20260106T000000Z\a1ba4e7291ef77fc,
2026-01-07T12:00:00Z,success,96,d616e71b91850fc7bc2a83194c8d626e5fd467c3460d90fb994ea40892978dfa,data\processed\january_runs\20260107T120000Z\20260107T000000Z\d616e71b91850fc7,
2026-01-08T12:00:00Z,success,96,4e01b9dcd3abaf6b185dae014caad5ec4cb16c7fe981ee20f57a12621fd6056e,data\processed\january_runs\20260108T120000Z\20260108T000000Z\4e01b9dcd3abaf6b,
2026-01-09T12:00:00Z,success,96,6a285c6db55381195f1fdaff701641076d1818f4dfc7bf06ffde9aef9688f8ac,data\processed\january_runs\20260109T120000Z\20260109T000000Z\6a285c6db5538119,
2026-01-10T12:00:00Z,success,96,fca9932eb45ed01759a70ac301905cb7913b2c9ee159c7ae42089be498a3ccd7,data\processed\january_runs\20260110T120000Z\20260110T000000Z\fca9932eb45ed017,
2026-01-11T12:00:00Z,success,96,6a1befc9793a3d56863f829926594b2151ba6f91d2ced9305abdc04b49ace9b8,data\processed\january_runs\20260111T120000Z\20260111T000000Z\6a1befc9793a3d56,
2026-01-12T12:00:00Z,success,96,07bb39ad33f70af3b9915314dfa18eed46318b2d0854f4e1b9f09bc227bfb84d,data\processed\january_runs\20260112T120000Z\20260112T000000Z\07bb39ad33f70af3,
2026-01-13T12:00:00Z,success,96,396b718793ec4ed9ffaa27a816d515d71fbf9ffbf31b860baf090763d041679e,data\processed\january_runs\20260113T120000Z\20260113T000000Z\396b718793ec4ed9,
2026-01-14T12:00:00Z,success,96,06203d3b26635d5dc4b7099f5e840d680cafbd49507c23e4015704f49b00059a,data\processed\january_runs\20260114T120000Z\20260114T000000Z\06203d3b26635d5d,
2026-01-15T12:00:00Z,success,96,5b29bcd77a60a972eadf4d192625182ee119a88fd3c49010b980779fa4e21111,data\processed\january_runs\20260115T120000Z\20260115T000000Z\5b29bcd77a60a972,
2026-01-16T12:00:00Z,success,96,872640f6bd23c1db1c7cf9bc95f37d704794e201c80578766c63ab5365083b3e,data\processed\january_runs\20260116T120000Z\20260116T000000Z\872640f6bd23c1db,
2026-01-17T12:00:00Z,success,96,9c06a477a1900a599dbbc82e5bba326311dfcfb5cc432d4ff54844496b4a173d,data\processed\january_runs\20260117T120000Z\20260117T000000Z\9c06a477a1900a59,
2026-01-18T12:00:00Z,success,96,86004bf165dab2a134ff4728754681ddc0c449b0d0c6429f1c9ca978fa10cd24,data\processed\january_runs\20260118T120000Z\20260118T000000Z\86004bf165dab2a1,
2026-01-19T12:00:00Z,success,96,dd9b026e61e91b0406aaccc566571ec75001b0d3ae6121eb9666a9b8b7cdeca9,data\processed\january_runs\20260119T120000Z\20260119T000000Z\dd9b026e61e91b04,
2026-01-20T12:00:00Z,success,96,d65939d0ddd5da1dcbf3b990f4272c90969e02cb2e4823c89b1b02fb3014b583,data\processed\january_runs\20260120T120000Z\20260120T000000Z\d65939d0ddd5da1d,
2026-01-21T12:00:00Z,success,96,dc8a070d5ee14bed4728cf6f6d3dec96d2c425f50b4129f9f3f4a944dc25c8dc,data\processed\january_runs\20260121T120000Z\20260121T000000Z\dc8a070d5ee14bed,
2026-01-22T12:00:00Z,success,96,024cf5e31545987d0ac1647b379cb95788828b8f5de802d776f0a9d7f9a17bdd,data\processed\january_runs\20260122T120000Z\20260122T000000Z\024cf5e31545987d,
2026-01-23T12:00:00Z,success,96,13d482dab03f6cfb823142ecf38de7483150be14b14df1845a3223c8c09d03e2,data\processed\january_runs\20260123T120000Z\20260123T000000Z\13d482dab03f6cfb,
2026-01-24T12:00:00Z,success,96,43f0e3b4d4f8fb9370ad5345f73dcd5ae2f83cf78aad377bb0d4bd3f488123ed,data\processed\january_runs\20260124T120000Z\20260124T000000Z\43f0e3b4d4f8fb93,
2026-01-25T12:00:00Z,success,96,2f0b33f07ffeed90310d9bcbe06d5bdddf55970daeb79ac4971262d719585595,data\processed\january_runs\20260125T120000Z\20260125T000000Z\2f0b33f07ffeed90,
2026-01-26T12:00:00Z,success,96,e044948e6f9c8cad74a283d1226773b8ec7d6e9963ffc6d3dea4f8420c92f1d3,data\processed\january_runs\20260126T120000Z\20260126T000000Z\e044948e6f9c8cad,
2026-01-27T12:00:00Z,success,96,094af4ebd0560368da68c495e788d06129e8d9d2996d85c70858656ca34d5f09,data\processed\january_runs\20260127T120000Z\20260127T000000Z\094af4ebd0560368,
2026-01-28T12:00:00Z,success,96,2ee8bc2e749f1b23ea2e526e9692571b0317bdd9161ff69ef1ffaf9ba1ca64df,data\processed\january_runs\20260128T120000Z\20260128T000000Z\2ee8bc2e749f1b23,
2026-01-29T12:00:00Z,success,96,1a92dd2d590ed0e04826e927e1c38dd6003aba73bb6a986cc32d06d9f4994f93,data\processed\january_runs\20260129T120000Z\20260129T000000Z\1a92dd2d590ed0e0,
2026-01-30T12:00:00Z,success,96,7cddccfe5db8fff2a8c148ae07a4ddd01e39bd5662eae09344316e4a4114d165,data\processed\january_runs\20260130T120000Z\20260130T000000Z\7cddccfe5db8fff2,
