turbine_id,horizon_band,forecast_rows,unique_target_hours,evaluated_rows,evaluated_unique_hours,missing_actual_rows,missing_actual_unique_hours,baseline_unavailable_rows,baseline_stale_rows,ml_mae,ml_rmse,baseline_mae,baseline_rmse
turbine_1,1-24,720,720,720,720,0,0,0,0,0.15158487298733667,0.23132942471626117,0.3023032407407408,0.43122291022447906
turbine_1,25-48,702,702,702,702,0,0,0,0,0.17289150973904296,0.2568844409672893,0.379551282051282,0.4900823743190869
turbine_2,1-24,720,720,720,720,0,0,0,0,0.15582285222300443,0.2380201695213823,0.30062037037037037,0.4321936133776672
turbine_2,25-48,702,702,702,702,0,0,0,0,0.17561728559975742,0.260669295588499,0.3795631528964863,0.49124222347763985
