issue_time_utc,weather_run_time_utc,target_time_utc,turbine_id,forecast_horizon_h,temperature_2m_c,wind_speed_10m_ms,wind_speed_100m_ms,wind_speed_200m_ms,wind_direction_100m_deg,temperature_c,wind_speed_ms,wind_height_m,weather_provenance_status
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-14T13:00:00Z,turbine_1,1,-0.5,0.73,1.49,0.65,310,-0.5,1.49,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-14T13:00:00Z,turbine_2,1,-0.5,0.73,1.49,0.65,310,-0.5,1.49,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-14T14:00:00Z,turbine_1,2,-0.7,1.82,3.53,2.21,263,-0.7,3.53,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-14T14:00:00Z,turbine_2,2,-0.7,1.82,3.53,2.21,263,-0.7,3.53,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-14T15:00:00Z,turbine_1,3,-0.4,1.69,3.62,3.05,235,-0.4,3.62,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-14T15:00:00Z,turbine_2,3,-0.4,1.69,3.62,3.05,235,-0.4,3.62,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-14T16:00:00Z,turbine_1,4,-1.0,1.77,4.08,3.51,253,-1.0,4.08,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-14T16:00:00Z,turbine_2,4,-1.0,1.77,4.08,3.51,253,-1.0,4.08,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-14T17:00:00Z,turbine_1,5,-0.1,0.4,1.77,2.12,245,-0.1,1.77,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-14T17:00:00Z,turbine_2,5,-0.1,0.4,1.77,2.12,245,-0.1,1.77,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-14T18:00:00Z,turbine_1,6,-0.4,0.32,1.78,1.82,280,-0.4,1.78,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-14T18:00:00Z,turbine_2,6,-0.4,0.32,1.78,1.82,280,-0.4,1.78,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-14T19:00:00Z,turbine_1,7,-0.3,0.64,0.39,0.16,140,-0.3,0.39,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-14T19:00:00Z,turbine_2,7,-0.3,0.64,0.39,0.16,140,-0.3,0.39,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-14T20:00:00Z,turbine_1,8,-0.5,1.07,2.09,1.2,138,-0.5,2.09,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-14T20:00:00Z,turbine_2,8,-0.5,1.07,2.09,1.2,138,-0.5,2.09,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-14T21:00:00Z,turbine_1,9,0.0,0.86,1.65,1.84,88,0.0,1.65,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-14T21:00:00Z,turbine_2,9,0.0,0.86,1.65,1.84,88,0.0,1.65,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-14T22:00:00Z,turbine_1,10,-2.9,0.96,2.02,2.09,83,-2.9,2.02,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-14T22:00:00Z,turbine_2,10,-2.9,0.96,2.02,2.09,83,-2.9,2.02,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-14T23:00:00Z,turbine_1,11,-2.9,1.03,2.15,2.06,68,-2.9,2.15,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-14T23:00:00Z,turbine_2,11,-2.9,1.03,2.15,2.06,68,-2.9,2.15,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-15T00:00:00Z,turbine_1,12,-3.2,1.46,3.27,3.31,67,-3.2,3.27,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-15T00:00:00Z,turbine_2,12,-3.2,1.46,3.27,3.31,67,-3.2,3.27,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-15T01:00:00Z,turbine_1,13,-2.1,2.15,5.31,5.53,66,-2.1,5.31,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-15T01:00:00Z,turbine_2,13,-2.1,2.15,5.31,5.53,66,-2.1,5.31,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-15T02:00:00Z,turbine_1,14,-2.5,2.31,5.46,6.51,66,-2.5,5.46,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-15T02:00:00Z,turbine_2,14,-2.5,2.31,5.46,6.51,66,-2.5,5.46,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-15T03:00:00Z,turbine_1,15,-0.5,3.15,6.69,8.43,63,-0.5,6.69,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-15T03:00:00Z,turbine_2,15,-0.5,3.15,6.69,8.43,63,-0.5,6.69,100,unverified
2026-02-14T12:00:00Z,2026-02-14T00:00:00Z,2026-02-15T04:00:00Z,turbine_1,16,2.2,3.3,7.54,9.13,61,2.2,7.54,100,unverified
