turbine,model,mae,rmse,r2,fit_seconds,predictions_outside_0_1
turbine_1,Linear Regression,0.08616552643843449,0.10352000179645221,0.9126726150919373,0.005352699998184107,968
turbine_1,Random Forest,0.02148568455335047,0.04278706488816705,0.9850814400180635,5.6912054999993416,0
turbine_1,CatBoost,0.02099153779115385,0.04143442124849491,0.9860097824655952,1.2157459000009112,4
turbine_2,Linear Regression,0.08882437512923379,0.11038118046484215,0.9001613129497223,0.0016826999926706776,978
turbine_2,Random Forest,0.020879437534731964,0.05369133874771113,0.9763779677423665,4.04115350000211,0
turbine_2,CatBoost,0.020304255131490596,0.05324314648374267,0.976770694897636,1.2362702999962494,0
